,State,Count_of_Banned from Libraries and Classrooms_Books,Count_of_Banned from Libraries_Books,Count_of_Banned from Classrooms_Books,Count_of_Banned Pending Investigation_Books,sum_total_challenges_bans,Most_Occurring_Book
0,Arkansas,2,2,12,5,21,"(1, 'Felix Ever After')"
1,California,1,2,1,635,639,"(1, 'This Book Is Gay')"
2,Colorado,1,135,2,25,163,"(1, 'The Absolutely True Diary of a Part-Time Indian')"
3,Florida,624,4,2,4,634,"(15, 'Tricks')"
4,Iowa,1,3,2,8,14,"(2, 'This Book Is Gay')"
5,Kansas,7,3,1,1,12,"(1, 'Come Back to Me')"
6,Kentucky,3,13,2,6,24,"(1, 'Tricks')"
7,Maine,2,69,2,1,74,"(3, 'Gender Queer: A Memoir')"
8,Michigan,18,1,3,217,239,"(3, 'Push')"
9,Missouri,47,1,2,6,56,"(9, ""The Handmaid's Tale: The Graphic Novel"")"
10,New York,1,4,0,1,6,"(1, 'Looking for Alaska')"
11,North Carolina,5,18,0,35,58,"(3, 'Out of Darkness')"
12,Oklahoma,2,1,0,27,30,"(1, 'Flamer')"
13,Pennsylvania,26,24,0,37,87,"(2, 'The Absolutely True Diary of a Part-Time Indian')"
14,South Carolina,18,3,0,158,179,"(3, 'Stamped: Racism, Antiracism, and You')"
15,Tennessee,6,268,0,84,358,"(1, 'The Perks of Being a Wallflower')"
16,Texas,244,45,0,110,399,"(5, ""All Boys Aren't Blue"")"
17,Utah,181,2,0,55,238,"(6, 'The Carnival at Bray')"
18,Virginia,69,3,0,2,74,"(3, 'Me and Earl and the Dying Girl')"
19,Wisconsin,5,3,0,2,10,"(2, 'Tricks')"
20,Idaho,0,0,0,35,35,"(1, 'Speak')"
21,Minnesota,0,0,0,12,12,"(1, 'Him')"
22,Georgia,0,0,0,0,0,"(1, 'Oryx and Crake')"
23,New Jersey,0,0,0,0,0,"(1, 'Almost American Girl')"
24,Indiana,0,0,0,0,0,"(1, 'Daughter of Smoke and Bone')"
25,West Virginia,0,0,0,0,0,"(1, ""It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health"")"
26,Oregon,0,0,0,0,0,"(2, 'Me and Earl and the Dying Girl')"
27,Massachusetts,0,0,0,0,0,"(1, 'This Book Is Gay')"
28,North Dakota,0,0,0,0,0,"(1, 'The Upside of Unrequited')"
29,New Hampshire,0,0,0,0,0,"(1, 'Body Talk: 37 Voices Explore Our Radical Anatomy')"
30,Nebraska,0,0,0,0,0,"(1, 'Melissa (George)')"
31,South Dakota,0,0,0,0,0,"(1, 'The Perks of Being a Wallflower')"
32,Wyoming,0,0,0,0,0,"(2, 'Crank')"
